;;;;;;;;;;;;;;; 
;dom;;seg;;ter;;qua;;qui;;sex;;sáb;;
;21/04/2024;;22/04/2024;;23/04/2024;;24/04/2024;;25/04/2024;;26/04/2024;;27/04/2024;;
Tarefa;Quem;Concluído;Quem;Concluído;Quem;Concluído;Quem;Concluído;Quem;Concluído;Quem;Concluído;Quem;Concluído;
Escolher Brinquedos/Diversos;Terry;Concluído;;;;;;;;;;;;;
Receber email;David;Concluído;;;;;;;;;;;;;
Pôr o lixo para fora;John;;;;;;;;;;;;;;
Lavar a louça;;;;;;;;;;;;;;;
Tirar o pó;;;;;;;;;;;;;;;
Varrer;;;;;;;;;;;;;;;
Passar aspirador de pó;;;;;;;;;;;;;;;
Passar o esfregão;;;;;;;;;;;;;;;
Limpar o banheiro;;;;;;;;;;;;;;;
Limpar o quarto;;;;;;;;;;;;;;;
Lavar a roupa;;;;;;;;;;;;;;;
Cortar a grama;;;;;;;;;;;;;;;
Varrer a grama;;;;;;;;;;;;;;;
Arrancar ervas daninhas;;;;;;;;;;;;;;;
Aparar a cerca viva;;;;;;;;;;;;;;;
Molhar as Plantas;;;;;;;;;;;;;;;
Varrer;;;;;;;;;;;;;;;
